part_id,operator_id,operator_name,trial,measurement_value,nominal_value,USL,LSL,unit,equipment_id,timestamp,batch_id
P01,OP1,Alice,1,25.076486,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:00:00,BATCH-2024-001
P02,OP1,Alice,1,24.871225,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:05:00,BATCH-2024-001
P03,OP1,Alice,1,25.114879,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:10:00,BATCH-2024-001
P04,OP1,Alice,1,25.180538,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:15:00,BATCH-2024-001
P05,OP1,Alice,1,24.723708,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:20:00,BATCH-2024-001
P06,OP1,Alice,1,24.774598,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:25:00,BATCH-2024-001
P07,OP1,Alice,1,25.032082,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:30:00,BATCH-2024-001
P08,OP1,Alice,1,24.919003,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:35:00,BATCH-2024-001
P09,OP1,Alice,1,25.028226,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:40:00,BATCH-2024-001
P10,OP1,Alice,1,24.870296,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:45:00,BATCH-2024-001
P01,OP2,Bob,1,25.064237,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:50:00,BATCH-2024-001
P02,OP2,Bob,1,24.84517,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:55:00,BATCH-2024-001
P03,OP2,Bob,1,25.180357,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:00:00,BATCH-2024-001
P04,OP2,Bob,1,25.160676,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:05:00,BATCH-2024-001
P05,OP2,Bob,1,24.717353,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:10:00,BATCH-2024-001
P06,OP2,Bob,1,24.817348,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:15:00,BATCH-2024-001
P07,OP2,Bob,1,25.062807,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:20:00,BATCH-2024-001
P08,OP2,Bob,1,24.990354,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:25:00,BATCH-2024-001
P09,OP2,Bob,1,25.036925,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:30:00,BATCH-2024-001
P10,OP2,Bob,1,24.912122,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:35:00,BATCH-2024-001
P01,OP3,Carlos,1,25.102665,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:40:00,BATCH-2024-001
P02,OP3,Carlos,1,24.811778,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:45:00,BATCH-2024-001
P03,OP3,Carlos,1,25.076639,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:50:00,BATCH-2024-001
P04,OP3,Carlos,1,25.094603,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:55:00,BATCH-2024-001
P05,OP3,Carlos,1,24.710904,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:00:00,BATCH-2024-001
P06,OP3,Carlos,1,24.826187,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:05:00,BATCH-2024-001
P07,OP3,Carlos,1,24.997188,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:10:00,BATCH-2024-001
P08,OP3,Carlos,1,24.905158,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:15:00,BATCH-2024-001
P09,OP3,Carlos,1,24.950623,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:20:00,BATCH-2024-001
P10,OP3,Carlos,1,24.876814,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:25:00,BATCH-2024-001
P01,OP1,Alice,2,25.071721,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:30:00,BATCH-2024-001
P02,OP1,Alice,2,24.863013,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:35:00,BATCH-2024-001
P03,OP1,Alice,2,25.089275,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:40:00,BATCH-2024-001
P04,OP1,Alice,2,25.14921,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:45:00,BATCH-2024-001
P05,OP1,Alice,2,24.711429,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:50:00,BATCH-2024-001
P06,OP1,Alice,2,24.812327,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:55:00,BATCH-2024-001
P07,OP1,Alice,2,25.049676,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:00:00,BATCH-2024-001
P08,OP1,Alice,2,24.960389,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:05:00,BATCH-2024-001
P09,OP1,Alice,2,25.021242,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:10:00,BATCH-2024-001
P10,OP1,Alice,2,24.874409,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:15:00,BATCH-2024-001
P01,OP2,Bob,2,25.080827,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:20:00,BATCH-2024-001
P02,OP2,Bob,2,24.891097,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:25:00,BATCH-2024-001
P03,OP2,Bob,2,25.086567,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:30:00,BATCH-2024-001
P04,OP2,Bob,2,25.154896,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:35:00,BATCH-2024-001
P05,OP2,Bob,2,24.715882,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:40:00,BATCH-2024-001
P06,OP2,Bob,2,24.807312,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:45:00,BATCH-2024-001
P07,OP2,Bob,2,25.034546,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:50:00,BATCH-2024-001
P08,OP2,Bob,2,25.029887,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:55:00,BATCH-2024-001
P09,OP2,Bob,2,24.992176,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:00:00,BATCH-2024-001
P10,OP2,Bob,2,24.930933,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:05:00,BATCH-2024-001
P01,OP3,Carlos,2,24.968807,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:10:00,BATCH-2024-001
P02,OP3,Carlos,2,24.814281,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:15:00,BATCH-2024-001
P03,OP3,Carlos,2,25.100264,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:20:00,BATCH-2024-001
P04,OP3,Carlos,2,25.143602,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:25:00,BATCH-2024-001
