part_id,operator_id,operator_name,trial,measurement_value,nominal_value,USL,LSL,unit,equipment_id,timestamp,batch_id
P01,OP1,Alice,1,25.055381,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:00:00,BATCH-2024-001
P02,OP1,Alice,1,24.852558,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:05:00,BATCH-2024-001
P03,OP1,Alice,1,25.113294,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:10:00,BATCH-2024-001
P04,OP1,Alice,1,25.153484,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:15:00,BATCH-2024-001
P05,OP1,Alice,1,24.712487,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:20:00,BATCH-2024-001
P06,OP1,Alice,1,24.795221,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:25:00,BATCH-2024-001
P07,OP1,Alice,1,25.023232,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:30:00,BATCH-2024-001
P08,OP1,Alice,1,24.942016,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:35:00,BATCH-2024-001
P09,OP1,Alice,1,25.007143,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:40:00,BATCH-2024-001
P10,OP1,Alice,1,24.871494,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:45:00,BATCH-2024-001
P01,OP2,Bob,1,25.045674,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:50:00,BATCH-2024-001
P02,OP2,Bob,1,24.838512,25.0,25.5,24.5,mm,CMM-001,2024-01-15T08:55:00,BATCH-2024-001
P03,OP2,Bob,1,25.128016,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:00:00,BATCH-2024-001
P04,OP2,Bob,1,25.141385,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:05:00,BATCH-2024-001
P05,OP2,Bob,1,24.704633,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:10:00,BATCH-2024-001
P06,OP2,Bob,1,24.8028,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:15:00,BATCH-2024-001
P07,OP2,Bob,1,25.027031,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:20:00,BATCH-2024-001
P08,OP2,Bob,1,24.958583,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:25:00,BATCH-2024-001
P09,OP2,Bob,1,25.00402,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:30:00,BATCH-2024-001
P10,OP2,Bob,1,24.878782,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:35:00,BATCH-2024-001
P01,OP3,Carlos,1,25.067266,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:40:00,BATCH-2024-001
P02,OP3,Carlos,1,24.837532,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:45:00,BATCH-2024-001
P03,OP3,Carlos,1,25.104933,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:50:00,BATCH-2024-001
P04,OP3,Carlos,1,25.130133,25.0,25.5,24.5,mm,CMM-001,2024-01-15T09:55:00,BATCH-2024-001
P05,OP3,Carlos,1,24.71212,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:00:00,BATCH-2024-001
P06,OP3,Carlos,1,24.815092,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:05:00,BATCH-2024-001
P07,OP3,Carlos,1,25.015923,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:10:00,BATCH-2024-001
P08,OP3,Carlos,1,24.941322,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:15:00,BATCH-2024-001
P09,OP3,Carlos,1,24.986411,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:20:00,BATCH-2024-001
P10,OP3,Carlos,1,24.8772,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:25:00,BATCH-2024-001
P01,OP1,Alice,2,25.053883,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:30:00,BATCH-2024-001
P02,OP1,Alice,2,24.849977,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:35:00,BATCH-2024-001
P03,OP1,Alice,2,25.105247,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:40:00,BATCH-2024-001
P04,OP1,Alice,2,25.143638,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:45:00,BATCH-2024-001
P05,OP1,Alice,2,24.708628,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:50:00,BATCH-2024-001
P06,OP1,Alice,2,24.807079,25.0,25.5,24.5,mm,CMM-001,2024-01-15T10:55:00,BATCH-2024-001
P07,OP1,Alice,2,25.028762,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:00:00,BATCH-2024-001
P08,OP1,Alice,2,24.955023,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:05:00,BATCH-2024-001
P09,OP1,Alice,2,25.004948,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:10:00,BATCH-2024-001
P10,OP1,Alice,2,24.872787,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:15:00,BATCH-2024-001
P01,OP2,Bob,2,25.050888,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:20:00,BATCH-2024-001
P02,OP2,Bob,2,24.852947,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:25:00,BATCH-2024-001
P03,OP2,Bob,2,25.098539,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:30:00,BATCH-2024-001
P04,OP2,Bob,2,25.139568,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:35:00,BATCH-2024-001
P05,OP2,Bob,2,24.704171,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:40:00,BATCH-2024-001
P06,OP2,Bob,2,24.799645,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:45:00,BATCH-2024-001
P07,OP2,Bob,2,25.018149,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:50:00,BATCH-2024-001
P08,OP2,Bob,2,24.971008,25.0,25.5,24.5,mm,CMM-001,2024-01-15T11:55:00,BATCH-2024-001
P09,OP2,Bob,2,24.989956,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:00:00,BATCH-2024-001
P10,OP2,Bob,2,24.884694,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:05:00,BATCH-2024-001
P01,OP3,Carlos,2,25.025196,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:10:00,BATCH-2024-001
P02,OP3,Carlos,2,24.838319,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:15:00,BATCH-2024-001
P03,OP3,Carlos,2,25.112358,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:20:00,BATCH-2024-001
P04,OP3,Carlos,2,25.145533,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:25:00,BATCH-2024-001
P05,OP3,Carlos,2,24.713168,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:30:00,BATCH-2024-001
P06,OP3,Carlos,2,24.8114,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:35:00,BATCH-2024-001
P07,OP3,Carlos,2,25.01334,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:40:00,BATCH-2024-001
P08,OP3,Carlos,2,24.945478,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:45:00,BATCH-2024-001
P09,OP3,Carlos,2,25.004918,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:50:00,BATCH-2024-001
P10,OP3,Carlos,2,24.867939,25.0,25.5,24.5,mm,CMM-001,2024-01-15T12:55:00,BATCH-2024-001
